Date,Open,High,Low,Close,Volume
2021-02-04 00:00:00,382.96,386.24,382.78,386.19,46732539
2021-02-05 00:00:00,388.2,388.47,386.485,387.71,48863539
2021-02-08 00:00:00,389.27,390.56,388.35,390.51,38535608
2021-02-09 00:00:00,389.61,390.89,389.17,390.25,35775029
2021-02-10 00:00:00,392.12,392.28,387.5,390.08,59170131
2021-02-11 00:00:00,391.24,391.69,388.1,390.71,43070000
2021-02-12 00:00:00,389.85,392.9,389.77,392.64,50749624
2021-02-16 00:00:00,393.96,394.17,391.53,392.3,51250583
2021-02-17 00:00:00,390.42,392.66,389.33,392.39,53065043
2021-02-18 00:00:00,389.59,391.515,387.74,390.72,59927621
2021-02-19 00:00:00,392.07,392.38,389.55,390.03,82264583
2021-02-22 00:00:00,387.06,389.62,386.74,387.03,67525246
2021-02-23 00:00:00,384.66,388.945,380.2,387.5,107317266
2021-02-24 00:00:00,386.33,392.23,385.27,391.77,72389150
2021-02-25 00:00:00,390.41,391.88,380.7789,382.33,146861885
2021-02-26 00:00:00,384.35,385.58,378.23,380.36,152919040
2021-03-01 00:00:00,385.59,390.92,385.54,389.58,105213631
2021-03-02 00:00:00,389.82,390.07,386,386.54,79275461
2021-03-03 00:00:00,385.79,386.83,381.31,381.42,119374393
2021-03-04 00:00:00,381.22,384,371.88,376.7,183594701
2021-03-05 00:00:00,380.46,384.76,372.64,383.63,152047537
2021-03-08 00:00:00,384.66,387.68,381.42,381.72,122590782
2021-03-09 00:00:00,385.85,389.91,385.31,387.17,113448927
2021-03-10 00:00:00,389.69,391.4,388.1702,389.58,110153696
2021-03-11 00:00:00,392.23,395.65,391.74,393.53,86413504
2021-03-12 00:00:00,392.07,394.21,391.2,394.06,64774109
2021-03-15 00:00:00,394.33,396.685,392.03,396.41,73796511
2021-03-16 00:00:00,397.07,397.83,395.08,395.91,73931454
2021-03-17 00:00:00,394.53,398.12,393.3,397.26,98019311
2021-03-18 00:00:00,394.475,396.72,390.75,391.48,115499892
2021-03-19 00:00:00,389.88,391.569,387.15,389.48,113940418
2021-03-22 00:00:00,390.03,394.07,389.97,392.59,73807542
2021-03-23 00:00:00,391.91,393.46,388.66,389.5,90822581
2021-03-24 00:00:00,391,392.75,387.47,387.52,97941109
2021-03-25 00:00:00,385.98,390.55,383.9,389.7,116251957
2021-03-26 00:00:00,390.93,396.41,390.29,395.98,114564012
2021-03-29 00:00:00,394.4,396.75,392.81,395.78,108206334
2021-03-30 00:00:00,394.42,395.45,393.02,394.73,76525361
2021-03-31 00:00:00,395.34,398,395.31,396.33,112809529
2021-04-01 00:00:00,398.4,400.67,398.18,400.61,99895578
2021-04-05 00:00:00,403.46,406.94,403.38,406.36,91825660
2021-04-06 00:00:00,405.76,407.24,405.4,406.12,62239948
2021-04-07 00:00:00,405.94,406.96,405.45,406.59,55675548
2021-04-08 00:00:00,407.93,408.58,406.93,408.52,57794487
2021-04-09 00:00:00,408.39,411.67,408.26,411.49,61267803
2021-04-12 00:00:00,410.85,411.93,410.2,411.64,56907047
2021-04-13 00:00:00,411.53,413.529,411.12,412.86,56770624
2021-04-14 00:00:00,412.83,413.96,410.87,411.45,61758661
2021-04-15 00:00:00,413.74,416.16,413.69,415.87,60298783
2021-04-16 00:00:00,417.25,417.91,415.73,417.26,82295202
2021-04-19 00:00:00,416.26,416.74,413.79,415.21,78626254
2021-04-20 00:00:00,413.91,415.0859,410.59,412.17,81981133
2021-04-21 00:00:00,411.51,416.29,411.36,416.07,66940318
2021-04-22 00:00:00,415.89,416.78,411.13,412.27,97638164
2021-04-23 00:00:00,412.87,418.25,412.79,416.74,73337139
2021-04-26 00:00:00,417.44,418.22,416.97,417.61,52214900
2021-04-27 00:00:00,417.93,418.14,416.3,417.52,51484802
2021-04-28 00:00:00,417.81,419.01,416.9,417.4,51148801
