Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,2.070000,2.070000,2.020000,2.030000,2.030000,23000
2019-08-27,2.030000,2.140000,2.010000,2.020000,2.020000,111500
2019-08-28,2.020000,2.060000,2.000000,2.030000,2.030000,28400
2019-08-29,2.030000,2.090000,2.010000,2.010000,2.010000,77900
2019-08-30,2.030000,2.060000,1.950000,1.990000,1.990000,99600
2019-09-03,2.000000,2.050000,1.930000,1.970000,1.970000,86400
2019-09-04,2.000000,2.000000,1.950000,1.980000,1.980000,69500
2019-09-05,1.980000,2.020000,1.970000,1.990000,1.990000,50500
2019-09-06,1.990000,2.100000,1.990000,2.050000,2.050000,121500
2019-09-09,2.060000,2.090000,2.040000,2.050000,2.050000,51000
2019-09-10,2.040000,2.140000,2.040000,2.100000,2.100000,77700
2019-09-11,2.100000,2.250000,2.100000,2.170000,2.170000,279800
2019-09-12,2.180000,2.210000,2.050000,2.100000,2.100000,100700
2019-09-13,2.120000,2.180000,1.940000,2.030000,2.030000,333100
2019-09-16,2.000000,2.110000,2.000000,2.010000,2.010000,106100
2019-09-17,2.010000,2.080000,1.980000,2.010000,2.010000,136300
2019-09-18,2.020000,2.050000,1.990000,2.010000,2.010000,51400
2019-09-19,2.010000,2.130000,2.000000,2.060000,2.060000,152400
2019-09-20,2.040000,2.080000,2.030000,2.080000,2.080000,90800
2019-09-23,2.090000,2.150000,2.080000,2.120000,2.120000,117700
2019-09-24,2.110000,2.140000,2.050000,2.070000,2.070000,74700
2019-09-25,2.070000,2.090000,2.050000,2.050000,2.050000,39300
2019-09-26,2.060000,2.150000,2.000000,2.060000,2.060000,155800
2019-09-27,2.060000,2.080000,2.030000,2.030000,2.030000,35700
2019-09-30,2.080000,2.090000,1.920000,1.960000,1.960000,236200
2019-10-01,1.950000,1.950000,1.850000,1.870000,1.870000,173200
2019-10-02,1.810000,1.810000,1.700000,1.750000,1.750000,207600
2019-10-03,1.750000,1.850000,1.690000,1.840000,1.840000,74900
2019-10-04,1.820000,1.890000,1.720000,1.730000,1.730000,53500
2019-10-07,1.760000,1.830000,1.730000,1.750000,1.750000,33500
2019-10-08,1.750000,1.810000,1.660000,1.750000,1.750000,174700
2019-10-09,1.730000,1.960000,1.680000,1.720000,1.720000,99300
2019-10-10,1.740000,1.740000,1.680000,1.680000,1.680000,23600
2019-10-11,1.670000,1.740000,1.670000,1.690000,1.690000,45500
2019-10-14,1.670000,1.760000,1.660000,1.670000,1.670000,53700
2019-10-15,1.690000,2.050000,1.690000,1.750000,1.750000,793600
2019-10-16,1.900000,2.030000,1.750000,1.830000,1.830000,672700
2019-10-17,1.820000,1.820000,1.690000,1.770000,1.770000,145400
2019-10-18,1.760000,1.800000,1.760000,1.780000,1.780000,115600
2019-10-21,1.830000,1.830000,1.720000,1.730000,1.730000,64400
2019-10-22,1.750000,1.750000,1.720000,1.720000,1.720000,79500
2019-10-23,1.740000,1.760000,1.730000,1.730000,1.730000,42400
2019-10-24,1.740000,1.770000,1.710000,1.710000,1.710000,28400
2019-10-25,1.710000,1.750000,1.700000,1.730000,1.730000,27700
2019-10-28,1.720000,1.770000,1.720000,1.740000,1.740000,49600
2019-10-29,1.720000,1.740000,1.670000,1.700000,1.700000,48300
2019-10-30,1.710000,1.740000,1.680000,1.690000,1.690000,21000
2019-10-31,1.690000,1.690000,1.550000,1.590000,1.590000,82100
2019-11-01,1.580000,1.710000,1.570000,1.690000,1.690000,54300
2019-11-04,1.670000,1.700000,1.650000,1.670000,1.670000,26000
