time;open;high;low;close;Volume;Kolonne1
2021-05-27 16:00;25025;25138;25013;25097;217978;
2021-05-27 18:00;25098;25106;25013;25022;185154;
2021-05-27 20:00;25022;25033;24928;2494;431290;
2021-05-27 22:00;2501;25022;2501;25022;600;
2021-05-28 14:00;2506;25205;25036;25119;111937;
2021-05-28 16:00;25119;25174;25058;25167;187404;
2021-05-28 18:00;25168;25207;2506;25078;166583;
2021-05-28 20:00;25082;25096;24957;2498;409335;
2021-05-28 22:00;24968;25001;24968;25001;3105;
2021-06-01 12:00;25059;25059;25059;25059;100;
2021-06-01 14:00;25112;2513;24944;25003;92336;
2021-06-01 16:00;24997;25005;24768;24833;284563;
2021-06-01 18:00;24834;24837;24771;24827;147789;
2021-06-01 20:00;24826;24847;24696;24739;348710;
2021-06-01 22:00;24744;24744;24735;24735;12041;
2021-06-02 14:00;24823;2489;24732;24847;169639;
2021-06-02 16:00;24847;24927;24797;24812;292223;
2021-06-02 18:00;24813;24829;24598;2463;179531;
2021-06-02 20:00;24628;24743;24586;24728;331962;
2021-06-03 12:00;24522;24522;24522;24522;100;
2021-06-03 14:00;24544;24605;24362;24378;187672;
2021-06-03 16:00;24376;24631;243;24544;438382;
2021-06-03 18:00;24549;24581;24496;24531;185945;
2021-06-03 20:00;2453;24601;24488;24568;386190;
2021-06-04 14:00;24601;24954;24601;24899;241623;
2021-06-04 16:00;24898;25163;24898;25119;490082;
2021-06-04 18:00;25124;2513;25061;25098;292133;
2021-06-04 20:00;25099;2514;25055;25066;581163;
2021-06-07 12:00;25044;25044;25035;25035;200;
2021-06-07 14:00;25039;25219;249835;2521;184996;
2021-06-07 16:00;25209;25321;25195;25241;366568;
2021-06-07 18:00;25241;25281;25204;25229;162910;
2021-06-07 20:00;2523;25409;252105;25388;446498;
2021-06-07 22:00;25402;25402;2539;2539;644;
2021-06-08 14:00;2553;256;25434;25478;188307;
2021-06-08 16:00;25477;2553;25289;25314;327077;
2021-06-08 18:00;25295;253415;25257;25276;204457;
2021-06-08 20:00;25275;25375;25252;25258;311772;
2021-06-09 12:00;25328;25328;25328;25328;100;
2021-06-09 14:00;25401;25552;25342;25473;163924;
2021-06-09 16:00;254725;25492;25322;25427;288704;
2021-06-09 18:00;25419;25533;25417;25484;211961;
2021-06-09 20:00;25486;25504;25338;25364;435366;
2021-06-10 14:00;25265;25634;25205;25587;196544;
2021-06-10 16:00;25588;25689;2546;25675;437002;
2021-06-10 18:00;25678;25746;256295;25698;281296;
2021-06-10 20:00;257;25744;25626;25724;399222;
2021-06-10 22:00;25706;25789;25706;25789;1302;
2021-06-11 14:00;25807;25823;25684;25771;137749;
2021-06-11 16:00;25769;25848;25734;25743;346241;
2021-06-11 18:00;257425;25757;25663;25715;220702;
2021-06-11 20:00;25713;25792;25713;25781;388702;
2021-06-11 22:00;2577;25779;25765;25765;1893;
2021-06-14 12:00;25851;25857;25851;25857;300;
2021-06-14 14:00;25825;25865;2568;25775;94391;
2021-06-14 16:00;25776;25799;25696;25793;181590;
2021-06-14 18:00;25791;25844;25766;25839;91195;
2021-06-14 20:00;2584;25995;25793;25988;365045;
2021-06-15 12:00;25995;25995;25995;25995;100;
2021-06-15 14:00;26002;26002;25847;25932;88789;
2021-06-15 16:00;25935;25971;25863;25945;279816;
2021-06-15 18:00;25945;25958;25815;25835;223839;
2021-06-15 20:00;25835;25878;25768;25863;372674;
2021-06-16 12:00;25841;25841;25841;25841;100;
2021-06-16 14:00;25847;26056;25847;26005;155429;
2021-06-16 16:00;26008;26058;25873;25879;299922;
2021-06-16 18:00;25879;25911;258045;25862;195141;
2021-06-16 20:00;2585;2585;25445;25749;775898;
2021-06-16 22:00;25724;25724;25724;25724;100;
2021-06-17 00:00;25578;25578;25578;25578;491;
2021-06-17 14:00;25613;25796;25612;2578;90963;
2021-06-17 16:00;25781;26061;25753;26049;467077;
